1,1,300,3000,
1,2,200,3400,
2,1,200,3800,
2,2,100,4100,
3,1,700,1700,
3,2,1000,1900,
4,1,1500,3700,
4,2,1300,4200,
5,1,1400,1700,
5,2,1700,1900,
6,1,1900,1000,
6,2,1700,1400,
7,1,1900,4100,
7,2,1700,4600,
8,1,1900,2100,
8,2,2200,2300,
9,1,2600,2100,
9,2,2900,2300,
10,1,3100,100,
10,2,3400,300,
11,1,3500,3500,
11,2,3300,3800,
12,1,3500,4200,
12,2,3300,4500,
13,1,3800,100,
13,2,4100,300,
14,1,3900,4500,
14,2,4200,4700,
15,1,4300,500,
15,2,4100,1000,
16,1,4600,4500,
16,2,4900,4700,
17,1,5100,3700,
17,2,4900,4200,
18,1,5500,700,
18,2,5300,1000,
19,1,5500,1400,
19,2,5300,1700,
20,1,5500,4100,
20,2,5300,4600,
21,1,5900,200,
21,2,5700,600,
22,1,5900,1300,
22,2,6200,1500,
23,1,6700,1800,
23,2,6500,2200,
24,1,6600,1300,
24,2,7000,1500,
25,1,7100,3300,
25,2,7400,3500,
26,1,7100,4500,
26,2,7400,4700,
27,1,7800,3300,
27,2,8200,3500,
28,1,7800,4500,
28,2,8200,4700,
29,1,7800,100,
29,2,8200,300,
30,1,8200,2900,
30,2,8600,3100,
31,1,8700,3700,
31,2,8500,4200,
32,1,9100,600,
32,2,8900,1000,
33,1,9400,200,
33,2,9800,300,
34,1,9500,1300,
34,2,9800,1500,
35,1,10200,200,
35,2,10500,300,
36,1,10200,1400,
36,2,10500,1500,
37,1,10200,3700,
37,2,10500,3900,
38,1,10600,3300,
38,2,11000,3500,
39,1,11400,3300,
39,2,11700,3500,
40,1,11900,4100,
40,2,11700,4600,
41,1,12300,200,
41,2,12100,600,
42,1,12300,2300,
42,2,12100,2600,
43,1,12300,3000,
43,2,12100,3300,
44,1,12700,500,
44,2,12500,1000,
45,1,12700,100,
45,2,13000,300,
46,1,13500,3700,
46,2,13300,4200,
47,1,13500,100,
47,2,13700,300,
48,1,13500,4500,
48,2,13800,4700,
49,1,14200,300,
49,2,14100,600,
50,1,14200,1000,
50,2,14100,1300,
51,1,14200,4500,
51,2,14600,4700,
52,1,14600,2500,
52,2,15000,2700,
53,1,15400,2500,
53,2,15700,2700,
54,1,15900,200,
54,2,15700,600,
55,1,15900,3400,
55,2,15700,3800,
56,1,15900,2900,
56,2,16200,3100,
57,1,16300,1000,
57,2,16100,1400,
58,1,16200,100,
58,2,16600,300,
59,1,16600,2900,
59,2,16900,3100,
60,1,17000,100,
60,2,17300,300,
